Question,Answer_A,Answer_B,Answer_C,Answer_D,Difficulty level,Correct answer
What is the chemical symbol for oxygen?,O,O₂,H₂O,CO₂,1,B
Which planet is closest to the Sun?,Venus,Mercury,Mars,Jupiter,1,B
What is the unit of measurement for electric resistance?,Ampere,Volt,Ohm,Watt,1,C
What is the main gas that makes up the Earth's atmosphere?,Oxygen,Nitrogen,Carbon dioxide,Argon,1,B
What is the process by which plants convert sunlight into chemical energy?,Respiration,Photosynthesis,Fermentation,Decomposition,1,B
What is the smallest unit of life?,Molecule,Cell,Atom,Tissue,1,B
Which force causes objects to fall towards the ground?,Magnetism,Gravity,Electrostatic force,Centrifugal force,1,B
What is the largest organ in the human body?,Liver,Skin,Lungs,Heart,1,B
"What color is chlorophyll, which is important for photosynthesis?",Yellow,Green,Red,Blue,1,B
What are the building blocks of proteins?,Carbohydrates,Amino acids,Fats,Vitamins,1,B
Which type of electromagnetic radiation has the highest energy?,Infrared rays,X - rays,Ultraviolet rays,Gamma rays,2,D
What is the phenomenon called when light bends as it passes from one medium to another?,Reflection,Diffraction,Dispersion,Refraction,2,D
What is the function of the ribosome in a cell?,Store genetic information,Produce proteins,Produce energy (ATP),Digest waste,2,B
Which law states that an object at rest stays at rest and an object in motion stays in motion with the same speed and in the same direction unless acted upon by an unbalanced force?,Newton's second law,Newton's first law,Newton's third law,Kepler's law,2,B
What is the chemical formula for hydrochloric acid?,H₂SO₄,HCl,HNO₃,H₃PO₄,2,B
What is the process of a solid changing directly to a gas called?,Condensation,Sublimation,Freezing,Settling,2,B
Which part of the cell controls the cell's activities?,Cell membrane,Nucleus,Cytoplasm,Ribosome,2,B
"On the pH scale, what range indicates an acid?",pH greater than 7,pH less than 7,pH equal to 7,pH greater than 10,2,B
What is the role of enzymes in biological reactions?,Slow down reactions,Speed up reactions,Stop reactions,Have no effect on reactions,2,B
What theory explains the origin of the universe?,Steady - state theory,Big Bang theory,Oscillating universe theory,Pulsating universe theory,2,B
What is the principle behind nuclear fusion?,Splitting of an atomic nucleus,Combining of atomic nuclei,Radioactive decay,Nuclear fission,3,B
Which sub - atomic particle has no charge?,Electron,Proton,Neutron,Positron,3,C
What is the function of the Golgi apparatus in a cell?,Produce energy,Modify and package proteins,Break down waste,Store energy,3,B
How does the greenhouse effect contribute to global warming?,It reflects sunlight back into space,It traps heat in the Earth's atmosphere,It cools the Earth's atmosphere,It has no impact on the climate,3,B
What is the overall chemical reaction for cellular respiration?,6CO₂ + 6H₂O → C₆H₁₂O₆+ 6O₂,C₆H₁₂O₆ + 6O₂ → 6CO₂ + 6H₂O,2H₂ + O₂ → 2H₂O,CH₄ + 2O₂ → CO₂ + 2H₂O,3,B
What is the significance of the Heisenberg Uncertainty Principle in quantum mechanics?,It is not relevant in modern physics,It states that it is impossible to simultaneously know the exact position and momentum of a particle,It only applies to macroscopic objects,It is about the certainty of particle properties,3,B
What is the process by which a liquid changes to a gas at a temperature below its boiling point?,Boiling,Evaporation,Melting,Suspension,3,B
Which part of the brain is responsible for higher - level thinking and decision - making?,Cerebellum,Frontal lobe,Parietal lobe,Occipital lobe,3,B
"According to Charles's law, what is the relationship between the volume and temperature of a gas at constant pressure?",They are inversely proportional,They are directly proportional,There is no relationship,The relationship depends on the gas type,3,B
What is the function of white blood cells in the immune system?,Transport oxygen,Fight off pathogens,Produce hormones,Regulate body temperature,3,B
